,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
0,H2H 2-0,Nicolas Massu,F,6-3 6-1,Tommy Haas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
1,H2H 2-0,Jason Stoltenberg,SF,7-6(3) 6-4,Tommy Haas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
2,H2H 1-5,Tim Henman,SF,3-6 7-5 6-2,Nicolas Massu,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
3,H2H 3-7,Lleyton Hewitt,QF,6-4 0-6 6-1,Tommy Haas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
4,H2H 1-0,Alberto Martin,QF,6-3 6-4,Jason Stoltenberg,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
5,H2H 1-2,Ivan Ljubicic,QF,6-7(5) 7-6(5) 6-2,Nicolas Massu,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
6,H2H 6-2,Thomas Johansson,QF,7-6(2) 6-7(4) 6-3,Tim Henman,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
7,H2H 3-0,Bjorn Phau,R16,6-7(5) 6-4 6-0,Lleyton Hewitt,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
8,H2H 9-4,Xavier Malisse,R16,7-5 6-3,Tommy Haas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
9,H2H 3-0,Paul Goldstein,R16,6-2 6-2,Jason Stoltenberg,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
10,H2H 3-3,Christophe Rochus,R16,3-6 7-6(5) 7-5,Alberto Martin,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
11,H2H 4-2,Andrei Pavel,R16,3-6 7-5 6-4,Ivan Ljubicic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
12,H2H 2-2,Arnaud Clement,R16,6-2 6-2,Nicolas Massu,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
13,H2H 3-0,Christian Vinck,R16,7-5 6-3,Thomas Johansson,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
14,H2H 3-1,Jeff Tarango,R16,6-1 6-4,Tim Henman,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
15,H2H 4-0,Wayne Arthurs,R32,6-4 6-3,Lleyton Hewitt,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
16,H2H 2-0,Todd Woodbridge,R32,7-5 6-1,Bjorn Phau,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
17,H2H 1-0,Chris Woodruff,R32,2-6 6-3 6-2,Xavier Malisse,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
18,H2H 1-0,Luke Smith,R32,6-3 6-3,Tommy Haas,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
19,H2H 1-0,Sebastien Grosjean,R32,6-3 6-2,Jason Stoltenberg,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
20,H2H 1-0,Alun Jones,R32,6-4 6-2,Paul Goldstein,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
21,H2H 3-1,German Puentes-Alcaniz,R32,6-2 6-3,Alberto Martin,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
22,H2H 2-0,Andrew Ilie,R32,1-6 7-6(2) 7-5,Christophe Rochus,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
23,H2H 3-0,Justin Gimelstob,R32,6-2 6-2,Andrei Pavel,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
24,H2H 2-2,Sargis Sargsian,R32,6-2 7-5,Ivan Ljubicic,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
25,H2H 6-1,Raemon Sluiter,R32,6-2 6-4,Nicolas Massu,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
26,H2H 1-0,Andrea Gaudenzi,R32,6-7(1) 6-0 6-3,Arnaud Clement,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
27,H2H 1-0,Felix Mantilla,R32,7-6(4) 6-2,Thomas Johansson,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
28,H2H 1-1,Alexander Popp,R32,7-6(5) 6-4,Christian Vinck,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
29,H2H 1-0,Michael Kohlmann,R32,6-3 7-6(4),Jeff Tarango,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
30,H2H 8-2,Greg Rusedski,R32,6-2 7-6(4),Tim Henman,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
31,,W Arthurs / T Woodbridge,F,6-7(5) 6-4 6-4,D Macpherson / G Stafford,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
32,,B Bryan / M Bryan,SF,6-2 6-3,W Arthurs / T Woodbridge,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
33,,J Eagle / A Florent,SF,6-2 6-4,D Macpherson / G Stafford,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
34,,T Cibulec / L Friedl,QF,6-3 6-4,W Arthurs / T Woodbridge,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
35,,M Kohlmann / M Llodra,QF,7-6(5) 7-5,B Bryan / M Bryan,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
36,,P Goldstein / A Kratzmann,QF,7-6(4) 6-2,D Macpherson / G Stafford,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
37,,P Kilderry / P Tramacchi,QF,6-3 6-2,J Eagle / A Florent,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
38,,T Haas / A Ilie,R16,6-4 6-4,W Arthurs / T Woodbridge,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
39,,C Haggard / T Vanhoudt,R16,6-2 6-3,T Cibulec / L Friedl,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
40,,J Gimelstob / S Humphries,R16,6-3 6-4,M Kohlmann / M Llodra,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
41,,T Shimada / M Wakefield,R16,4-6 7-6(1) 6-3,B Bryan / M Bryan,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
42,,M Barnard / C Woodruff,R16,6-3 6-4,P Goldstein / A Kratzmann,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
43,,M Hill / J Tarango,R16,0-6 6-4 6-3,D Macpherson / G Stafford,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
44,,J Delgado / T Henman,R16,6-2 6-4,P Kilderry / P Tramacchi,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
45,,A Clement / S Grosjean,R16,1-6 7-6(3) 6-4,J Eagle / A Florent,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
46,H2H 1-0,Jean-Michel Pequery,FQ,6-4 6-4,Bjorn Phau,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
47,H2H 3-0,Scott Draper,FQ,6-3 6-3,Xavier Malisse,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
48,H2H 3-4,Paul Baccanello,FQ,6-3 6-4,Alun Jones,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
49,H2H 2-0,Dejan Petrovic,FQ,6-1 7-5,Michael Kohlmann,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
50,H2H 2-0,Eric Prodon,SFQ,6-3 6-2,Jean-Michel Pequery,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
51,H2H 2-1,Michael Llodra,SFQ,6-3 6-2,Bjorn Phau,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
52,H2H 2-3,Guillermo Canas,SFQ,6-3 6-2,Xavier Malisse,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
53,H2H 1-0,Werner Eschauer,SFQ,6-4 6-3,Scott Draper,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
54,H2H 1-0,Cristiano Caratti,SFQ,6-3 6-4,Paul Baccanello,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
55,H2H 1-0,Marcos Ondruska,SFQ,5-7 7-5 6-4,Alun Jones,2001-01-01,https://matchstat.com/tennis/tournaments/m/Adelaide/2001,Adelaide,hard
