,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Niki Pilic,F,6-3 6-3 6-0,I. Nastase,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
1,H2H 7-1,Tom Gorman,SF,6-3 6-4 6-1,I. Nastase,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
2,H2H 1-0,Adriano Panatta,SF,6-4 6-3 6-2,Niki Pilic,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
3,H2H 9-0,R. Taylor,QF,6-0 6-2 7-6,I. Nastase,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
4,H2H 1-1,J. Kodes,QF,6-4 7-6 4-6 6-1,Tom Gorman,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
5,H2H 2-2,Paolo Bertolucci,QF,6-3 6-4 3-6 6-4,Niki Pilic,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
6,H2H 1-2,Tom Okker,QF,6-3 5-7 6-3 6-4,Adriano Panatta,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
7,H2H 3-0,F. Jauffret,R16,6-4 6-2 6-4,I. Nastase,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
8,H2H 1-0,Paul Gerken,R16,6-4 6-4 3-6 6-7 6-4,R. Taylor,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
9,H2H 1-0,Boro Jovanovic,R16,4-6 6-3 4-6 6-0 7-5,J. Kodes,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
10,H2H 1-0,Milan Holecek,R16,6-3 6-3 6-4,Tom Gorman,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
11,H2H 2-0,Frank Froehling,R16,6-2 6-2 6-3,Niki Pilic,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
12,H2H 1-0,A. Ashe,R16,7-6 6-3 6-4,Paolo Bertolucci,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
13,H2H 4-7,Bjorn Borg,R16,7-6 2-6 7-5 7-6,Adriano Panatta,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
14,H2H 3-1,S. Smith,R16,6-3 3-6 7-6 3-6 6-4,Tom Okker,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
15,H2H 2-0,Jurgen Fassbender,R32,6-2 6-1 6-3,I. Nastase,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
16,H2H 1-0,Patrice Dominguez,R32,6-1 2-6 6-1 3-6 6-0,F. Jauffret,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
17,H2H 2-1,G. Vilas,R32,6-1 7-6 6-1,Paul Gerken,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
18,H2H 2-0,C. Pasarell,R32,6-2 4-6 3-6 6-3 7-5,R. Taylor,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
19,H2H 1-0,Corrado Barazzutti,R32,6-2 6-1 7-5,Boro Jovanovic,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
20,H2H 2-0,Colin Dibley,R32,6-3 6-4 1-6 6-1,J. Kodes,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
21,H2H 1-0,Hans-Jurgen Pohmann,R32,6-4 3-6 6-0 4-6 8-6,Milan Holecek,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
22,H2H 2-2,Onny Parun,R32,6-4 6-3 6-3,Tom Gorman,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
23,H2H 3-1,P. Dent,R32,3-6 7-5 7-6 6-3,Niki Pilic,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
24,H2H 1-0,Wanaro N'Godrella,R32,6-4 6-3 6-4,Frank Froehling,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
25,H2H 1-0,Andrew Pattison,R32,3-6 6-4 6-7 6-4 6-4,Paolo Bertolucci,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
26,H2H 6-4,Harold Solomon,R32,7-6 6-2 6-7 6-4,A. Ashe,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
27,H2H 6-1,Dick Stockton,R32,6-7 7-5 6-2 7-6,Bjorn Borg,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
28,H2H 4-1,J. Fillol,R32,6-4 6-4 6-1,Adriano Panatta,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
29,H2H 2-0,B. Phillips-Moore,R32,6-2 6-1 6-2,Tom Okker,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
30,H2H 2-0,Erik Van Dillen,R32,6-2 6-4 6-7 4-6 6-1,S. Smith,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
31,H2H 5-0,Jiri Hrebec,R64,6-2 6-4,I. Nastase,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
32,H2H 1-0,Marcelo Lara,R64,6-3 7-6,Jurgen Fassbender,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
33,H2H 1-1,Z. Franulovic,R64,6-4 7-6,F. Jauffret,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
34,H2H 1-0,G. Battrick,R64,7-6 6-4,Patrice Dominguez,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
35,H2H 1-0,A. Gimeno,R64,6-2 5-7 8-6,G. Vilas,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
36,H2H 1-0,Torben Ulrich,R64,6-2 6-3,Paul Gerken,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
37,H2H 2-0,Alex Metreveli,R64,6-4 6-4,R. Taylor,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
38,H2H 1-0,H. Elschenbroich,R64,6-0 6-3,C. Pasarell,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
39,H2H 1-1,F. Pala,R64,6-1 4-6 9-7,Boro Jovanovic,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
40,H2H 1-0,Jun Kamiwazumi,R64,6-2 6-1,Corrado Barazzutti,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
41,H2H 3-0,Pat Cramer,R64,6-1 6-0,J. Kodes,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
42,H2H 1-0,Tadeusz Nowicki,R64,6-4 6-4,Colin Dibley,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
43,H2H 2-0,John Paish,R64,7-6 6-4,Milan Holecek,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
44,H2H 2-0,Jean-Louis Haillet,R64,6-2 6-4,Hans-Jurgen Pohmann,1973-05-21,https://matchstat.com/tennis/tournaments/m/FO%20-%20RG/1973,FO - RG
